,treat_logFC_target,treat_logFC_NCS
0,GNGT1,2.100610309256903
1,TP53,2.166173316599792
2,GNB1,2.11664375524489
3,MED1,2.276775351114586
4,GNG2,2.127358775071591
5,GNB3,2.1018069542776083
6,AR,2.3223585139530187
7,GNB2,2.1038908772803238
8,GNG7,2.113373340977643
9,GNG4,2.113373340977643
10,GNG3,2.113373340977643
11,GNG8,2.113373340977643
12,GNG5,2.115874409849631
13,GNGT2,2.113843343388223
14,NCOR1,2.598801570264318
15,GNG10,2.1103356823673636
16,TP63,2.311985997209902
17,GNG12,2.1128349976781147
18,GNB4,2.0566061139402594
19,NCOR2,2.6235141046933634
20,GNB5,2.051516762583894
21,GNG11,2.063839689169631
22,GNG13,2.0531449442961938
23,AKT1,2.293737190963196
24,PYGM,2.0748164793658
25,GAPDH,2.161456177830727
26,GNAI1,2.0550507669409503
27,PYGB,2.0917372396772578
28,GNAI2,2.050825552016757
29,ERBB4,2.1892109513848506
30,EP300,2.2138718590349393
31,MAPK1,2.1828205128367273
32,GAPDHS,2.1613622462496105
33,MAPK3,2.17830802468937
34,STAT5B,2.3585715280962405
35,AGT,2.1444679753226947
36,ABCG5,3.58239132860754
37,ASGR1,3.6089431089668302
38,GNAI3,2.105594120634699
39,CTNNB1,2.2145977260588596
40,STAT1,2.2779519482229986
41,SLC4A8,2.264795867135199
42,SLC4A10,2.2647958671351995
43,STAT5A,2.383011618814613
44,SRC,2.346010946373579
45,INS,2.110846310562532
46,CFTR,2.0248408627647883
47,CALM1,2.1059286060198623
48,RPS27A,2.0143829278388905
49,BDNF,2.202217863897443
50,PYGL,2.168811565176809
51,SLC12A6,2.3736968240069545
52,SLC12A5,2.3369761616406466
53,SLC12A4,2.3369761616406466
54,SLC12A7,2.3369761616406466
55,UBA52,2.0316315365389466
56,SNCA,2.004550532829524
57,MAT2B,1.772197270407075
58,AKT3,2.353914869113563
59,UBB,1.9328580522435401
60,MAT2A,1.730350268651237
61,CD2,2.87762340795554
62,OTC,2.297249081674657
63,UBC,1.9317409560542895
64,PNP,2.3205644647421515
65,HDAC2,2.5645788527243454
66,STAT2,2.2859143087786395
67,SLC24A5,1.9932160499397653
68,GNA11,2.2005790128331344
69,GNAT3,2.0153078369178608
70,PIK3CA,2.2720839649024924
71,NADSYN1,1.8229800208657285
72,GNA14,2.1830347520402937
73,GNA15,2.195853923665796
74,MAPK8,2.4899935961004185
75,UPP2,2.266002576128735
76,MTAP,2.3162785111442146
77,SUMO1,2.3266318703869326
78,HDAC1,2.3151634643991668
79,UPP1,2.2904901033604066
80,MAT1A,1.698722082066307
81,MMP10,2.0517682401380037
82,ATP1B3,2.083962539719063
83,ATP1B1,2.0868147527057848
84,ATP1B2,2.0850324058790766
85,ATP1A1,2.086811134468587
86,ATP1A2,2.0865854552844754
87,ATP1A4,2.0874342475981447
88,ATP1A3,2.085144860935369
89,FXYD2,2.0863795121538216
90,C3,2.1048808738402203
91,RHOA,2.188901869170033
92,GRB2,2.295200924239384
93,PRLH,2.3538859588811833
94,STAT4,2.29874910285157
95,FXYD3,2.094574656969125
96,FXYD1,2.094574656969125
97,FXYD7,2.094574656969125
98,FXYD4,2.094574656969125
99,FXYD6,2.094574656969125
100,CAMK2B,2.2025342166692234
101,FYN,2.292769581146015
102,NGF,2.2495806698254386
103,BTK,2.223539351670761
104,CAMK2G,2.1909358999091673
105,RUNX2,2.7750053172078437
106,PIK3R1,2.2695944539063473
107,ACTN2,2.243572002476674
108,ACSS2,1.9822422582992543
109,PRKCA,2.0958695811548043
110,ETFDH,3.7193017180927104
111,ETFB,4.405780318830571
112,SHC1,2.276305734512813
113,LCK,2.2786480830267566
114,RXRA,2.3065328027038103
115,JAK2,2.2243003791206464
116,SLC8A3,2.1967919065353123
117,SUCLG1,2.004337736907773
118,PRKCB,2.15305417559616
119,AKR1B1,1.9064471652851018
120,EGFR,2.2322195362999886
121,AKR1B10,1.9136729968854118
122,CDK1,2.0628313365333604
123,MAX,2.4283935176822755
124,SUCLA2,1.986905201952565
125,STAT6,2.289352507931853
126,CYP21A2,2.478200592778868
127,KCNJ11,2.011450464462401
128,GPSM2,2.037916590663689
129,GPSM1,2.037916590663689
130,PIK3CB,2.2286004805365316
131,PCP2,2.037916590663689
132,GPSM3,2.037916590663689
133,HIST2H3C,2.386461586298444
134,HIST2H3D,2.386461586298444
135,HIST2H3A,2.386461586298444
136,HTR3A,2.0377938958087998
137,HTR3E,2.0377938958087998
138,HTR3C,2.0377938958087998
139,HTR3B,2.0377938958087998
140,HTR3D,2.0377938958087998
141,DLD,2.070456972058069
142,GLUD1,2.0919546909606366
143,GRIN2B,2.3772572415025457
144,HIST2H4A,2.394229027603687
145,HIST1H4A,2.394229027603687
146,HIST1H4E,2.394229027603687
147,HIST1H4D,2.394229027603687
148,HIST1H4L,2.394229027603687
149,HIST1H4F,2.394229027603687
150,HIST1H4C,2.394229027603687
151,HIST1H4B,2.394229027603687
152,HIST2H4B,2.394229027603687
153,HIST1H4I,2.394229027603687
154,HIST1H4K,2.394229027603687
155,HIST4H4,2.394229027603687
156,HIST1H4J,2.394229027603687
157,HIST1H4H,2.394229027603687
158,PRKCQ,2.0885793434049673
159,GRIN1,2.3498801356218952
160,SLC12A1,2.116077644281647
161,PKLR,1.8665319134375928
162,GMPS,1.8521749993536232
163,SMAD2,2.4468246176552184
164,HIST1H3E,2.339058277018061
165,HIST1H3J,2.339058277018061
166,HIST1H3F,2.339058277018061
167,HIST1H3G,2.339058277018061
168,HIST1H3D,2.339058277018061
169,HIST1H3B,2.339058277018061
170,HIST1H3C,2.339058277018061
171,HIST1H3I,2.339058277018061
172,HIST1H3H,2.339058277018061
173,HIST1H3A,2.339058277018061
174,ACP6,1.8451501688843708
175,PXYLP1,1.8615304299994433
176,GRIN2D,2.375480713802228
177,DLG4,2.303123979092344
178,AMPD1,1.8297654312766205
179,GOT1,2.0088267408135345
180,GOT2,2.1028192533304044
181,PTEN,2.2027239326392034
182,ASNS,1.782334494943835
183,NTRK1,2.303341787280298
184,GLUD2,2.1364605695971046
185,GRIN2A,2.222624976275049
186,FAM20C,1.7488910762930232
187,FAM20A,1.7488910762930232
188,HSP90AA1,2.1202670526974665
189,DLG3,2.2989959925415318
190,ACSM5,2.0615865540048515
191,DLG2,2.2989959925415318
192,MAPK9,2.444225671632056
193,DLG1,2.3139079089806525
194,JUN,2.2593438960763303
195,CDKN1A,2.6823009909057305
