"","Model","XKA"
"PABPN1",-0.664142417142632,1.3728376323033
"RAB5C",-0.767534297283921,1.01008132538568
"UBE2U",0.00769666906926383,-1.02917730566245
"DNAJC22",0.645486225718736,-0.695939056853039
"CHIC1",0.641736372280331,-1.26338564757091
"LRP4",-0.709578973005517,1.33821551965215
"MYOM3",4.00887350470727,-1.1477690983737
"SMAGP",0.588408196100951,-0.694978705556171
"INSIG2",0.346146409380216,-1.23731867300437
"FAM134C",-0.778874826761108,1.01805744492906
"CLPX",0.141844046365563,-1.22817927868306
"RIOK2",-0.274336961999835,0.82007642128098
"ACSBG1",1.76551810804306,-2.40250620135284
"TSC22D1",1.05661148512935,-0.87424596977485
"C5orf45",0.985968060941018,-1.32258571446166
"AMPD2",-0.258344344126306,1.05371348412946
"NMRK1",-0.0988642796733725,1.45194302418498
"STMN1",1.06632559511091,-0.819772570686215
"LMO7",-0.501847845676592,0.591245346876146
"ELOVL3",0.582399228996712,-1.47178847896211
"SIGMAR1",0.653226556266082,-0.722112732398621
"LONRF1",0.408114761685183,0.705676518467611
"DBF4",1.06753354330274,-0.924806055281042
"CRH",-0.359953569570498,2.9092247843676
"MPP1",0.753909094945441,-0.542825718801914
"SLC22A7",2.40622972603435,-1.13483682579028
"DTX4",0.245896780869428,-1.12878586103965
"KIN",-0.674249254559654,0.926334079240346
"GLDC",0.257690204325146,-0.697764638381779
"DNAJC9",0.848179476177041,-0.602358843062305
"ELFN1",4.47917071812785,-2.12055337193898
"UCK1",0.835673005488228,-0.885548196037885
"ZDHHC19",-2.1236350933413,2.76493329486117
"FGF1",-0.475595472808773,0.701348956868815
"ARSB",-0.114887538983165,-0.489331930741997
"GKN1",-1.92144195666847,2.38739778097224
"GREB1",-1.06089413769276,1.6611314824127
"HAPLN3",-1.8378124333054,1.99545693448924
"TTLL1",0.812283674974811,-0.687382086825751
"SUDS3",0.378841961475629,-0.520693316288766
"PRPF4",0.482774403224157,-0.425850626359283
"LSM14B",-0.730974237135232,0.5830383098873
"PRCC",-0.604305970792876,0.469109867664407
"XK",0.480025245287438,-2.00807719438627
"GPT2",-0.198221447159401,0.519543943326174
"TATDN2",0.0107654951816188,0.506123848671269
"RPUSD1",-0.813265630271497,0.522687802088943
"ANXA5",0.963796365814683,-0.873638470405714
"CPEB3",-0.269126907397043,0.50339095961306
"EPAS1",-0.216935990110173,0.415057542420377
"NRG4",0.670358155965868,1.46530789093636
"ALDH18A1",1.16978601630054,-0.83796481396634
"PTGR1",0.358341350770593,-0.780327269988194
"PFKP",0.817406691035069,-0.978764650631191
"RGS5",1.04435422556775,-0.53198236473901
"OGT",-0.541314353053308,0.438454238541644
"YPEL4",1.56819792495663,-2.19859025406091
"FZD6",0.552328696749085,-0.658245034467665
"BHLHB9",0.449441949759614,-0.654384153845407
"NAMPT",0.717314746159934,0.624310217434674
"EPS8L2",-0.0809156254821562,-0.59243460886982
"COMMD7",0.18535925868742,-0.531125926126057
"KIAA0430",-0.72408512936775,0.724182456890438
"PNN",-1.3502245317365,1.03238422717796
"PER2",0.171526547369659,0.989005399011875
"DAK",0.975201293263684,-0.988403617135929
"SCN7A",-0.44789362284061,0.873149962699135
"CNTD1",0.157421690616251,0.605722633276815
"APOC2",0.985902303794076,-0.463622673901281
"IGFBP5",0.688123360989379,1.23880888057442
"ANXA2",2.46998824044272,-1.32118926226862
"PI4K2A",0.224869752911696,-0.574000460388033
"TRIP13",1.37697413469081,-1.14556172747102
"SLC5A6",0.0751755118456824,0.783841735540823
"USP9Y",0.199035775487,-2.20687870488163
"LRP6",0.527456671288977,0.434982511339771
"ABCA6",-0.796365104721134,0.47976775184079
"PKDCC",-0.311987795601075,0.644473781518359
"MTSS1",0.0164108926596882,0.493712065064829
"MTNR1A",1.55502716960074,-1.14780383665666
"LRSAM1",1.10299831155417,-0.765291966643317
"CCRN4L",1.73024892352191,1.26862880520458
"TAS1R1",-0.759432314871426,1.22380594039503
"OLFM1",0.708152410574074,-0.9196131578204
"RALY",-1.30434860157175,0.731416913338016
"SLITRK6",0.679278686830016,-2.58438707774435
"CDC20",1.08776451259477,-1.456606537616
"SERPINE2",1.07692050329173,-0.71695150661498
"GPD1",0.869683351360205,-0.715191952578009
"MYBPC2",-0.511227529329408,1.8075056759909
"ZNF445",0.491099025597932,0.619604991902618
"SMYD2",1.03616674452658,-0.4912351512805
"LPAR4",-0.732914003834812,1.1351834917244
"RCBTB1",-0.441222727986701,0.526994429975926
"CUZD1",-1.14596112887331,1.89132164391834
"VAPB",-0.453152395132815,0.640244306903197
"INO80B",1.56399037300174,-1.40542191484485
"CSNK2A1",-0.855806907527538,0.540241793877988
"CDCP1",1.26043278964389,-1.03945888507186
