"","XKA"
"1","O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)[C@@H]1[C@@H]2[C@H](C=CO1)[C@H](C[C@@]2(C)O)O"
"2","c1(c(cc(cc1)/C=C/C(=O)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)OCCc1cc(c(cc1)O)O)O)O[C@@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)C)O)O"
"3","C1=C[C@@H]2[C@H]([C@@H](O1)O[C@H]1[C@H](O)[C@H]([C@@H]([C@H](O1)CO)O)O)[C@@]1([C@H]([C@H]2O)O1)CO"
"4","[C@H]12[C@H](C[C@@H]([C@H]1C)O)C(=CO[C@H]2O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C(=O)O"
"5","[C@@H]1([C@@H](O[C@H]([C@@H]([C@H]1O)O)C)OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC(=O)/C=C/c1cc(c(cc1)O)O)O)O)OCCc1ccc(c(c1)O)O)O"
"6","[C@H]12[C@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](CC4)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)C)CC[C@@]1([C@H](CC2)[C@@H](CC[C@H](C(C)C)CC)C)C"
"7","[C@H]1(CC[C@]2(C(=CC[C@H]3[C@@H]4CC[C@H]([C@@H](CC[C@H](C(C)C)CC)C)[C@@]4(C)CC[C@H]23)C1)C)O"
"8","O(C(=O)CCCCCCCCCCCCCCCCCCCCCCCCC)CCc1ccc(O)cc1"
"9","O([C@H]1OC=C[C@H]2[C@@H]1[C@@](O)(CC2)C)[C@H]1O[C@](O)([C@@H](O)[C@H](O)[C@H]1O)CO"
"10","O([C@@]1([C@@H]2[C@H](CC1)C=CO[C@@H]2O[C@H]1O[C@@](O)([C@@H](O)[C@H](O)[C@H]1O)CO)C)C(=O)C"
"11","[C@H]1([C@@H]([C@H]([C@H]([C@H](O1)OCCc1cc(c(cc1)O)OC)O)O)OC(=O)/C=C/c1cc(c(cc1)O)O)CO[C@H]1[C@@H]([C@@H](O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)[C@@H]([C@H](O1)CO)O)O"
"12","O1[C@H]([C@@H]([C@@H]([C@H]([C@@H]1C)O)O)O)O[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1O)O)CO)OC(=O)/C=Cc1cc(c(cc1)O)O"
"13","O([C@@H]1OC=C[C@]2(O)[C@H]1C(=C[C@H]2O)CO)[C@@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1O)CO"
"14","O1[C@]2([C@@H]1[C@@H](O)[C@H]1[C@@H]2[C@@H](OCC1)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)CO"
"15","C1(=CO[C@@H](O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@H]2[C@@H]1CC=C2CO)C(=O)CO"
"16","O1[C@H]2OC[C@]3([C@H]([C@H]([C@@H]([C@H]3Cl)O)C2)[C@@H]1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O"
"17","O1[C@@]2([C@H]1[C@@H](O)[C@H]1[C@@H]2[C@@H](OC=C1)O[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)C)CO"
"18","O([C@@H]1OC=C([C@@H]2[C@H]1C(=C)CC2)C(=O)OC)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO[C@@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1O)C"
"19","O([C@@H]1[C@H](OC(=O)/C=Cc2cc(OC)c(O)cc2)[C@H](O[C@@H](OCCc2cc(O)c(O)cc2)[C@@H]1O)CO[C@H]1O[C@H]([C@@H](O)[C@H](O)[C@@H]1O)CO)[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C"
"20","O([C@H]1[C@H](OC(=O)/C=Cc2cc(OC)c(O)cc2)[C@H](O[C@@H](OCCc2cc(O)c(OC)cc2)[C@@H]1O)CO[C@H]1O[C@H]([C@H](O)[C@H](O)[C@@H]1O)CO)[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C"
"21","O([C@@]12[C@H]([C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CO)OC=C2)C(=C[C@H]1O)CO)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO"
"22","O[C@@]1([C@@H]2[C@H]([C@H](OC(=O)/C=Cc3cc(OC)c(O)cc3)C1)C=CO[C@H]2O[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)CO)C"
"23","O([C@H]1[C@H](OC(=O)/C=Cc2cc(O)c(O)cc2)[C@H](O[C@@H](OCCc2cc(O)c(O)cc2)[C@@H]1O)CO[C@H]1O[C@H]([C@H](O)[C@H](O)[C@@H]1O)CO)[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C"
"24","O([C@]1([C@](O)(C(CCC1)(C)C)/C=C/[C@@H](O)C)C)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO"
"25","O([C@]1([C@](O)(C(CCC1)(C)C)/C=C/[C@H](O)C)C)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO"
"26","O([C@]1([C@](O)(C(CCC1)(C)C)/C=C/C(=O)C)C)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO"
"27","O1[C@@]2([C@H]1[C@@H](O[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)CO)[C@H]1[C@@H]2[C@@H](OC=C1)O[C@@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1O)CO)CO"
"28","O([C@H]1[C@H]2[C@@H]([C@@](O)(C1)C)[C@@H](OC=C2)O[C@@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1O)CO)[C@@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)CO"
"29","O[C@@]1([C@@H]2[C@H]([C@H](OC(=O)c3ccc(O)cc3)C1)C=CO[C@H]2O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)C"
"30","O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O[C@@H]1CCC(C(=C1C)C(=O)O)(C)C"
"31","[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)O)O)O)O[C@@H]1OC=C[C@@H]2[C@H]1[C@]1(CO)[C@H]([C@H]2O)O1"
"32","c1(c(ccc(c1)C(=O)O[C@@H]1C[C@@]([C@@H]2[C@H]1C=CO[C@H]2O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)O)(O)C)O)OC"
"33","[C@@H]1([C@@H]([C@H]([C@@H](O[C@@H]1CO[C@@H]1O[C@H]([C@H]([C@H]([C@@H]1O)O)O)CO)OCCc1cc(c(cc1)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)C)O)O)O)OC(=O)/C=Cc1cc(c(cc1)O)O"
"34","[C@H]12[C@H](O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)OC=C[C@H]1[C@@H](C=C2CO)O"
"35","O[C@@H]1[C@@H]2[C@](C2)([C@@H]2[C@H]1C=CO[C@H]2O[C@@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1O)CO)COC(=O)C"
"36","C(=O)(CCCCCCCCCCCCCCCCCCCCC)O"
"37","[C@@H]1(CC[C@]2(C(=CC[C@H]3[C@@H]4CC[C@H]([C@@H](/C=C/[C@@H](CC)C(C)C)C)[C@@]4(C)CC[C@H]23)C1)C)O"
